generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
114000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.5714,0.830632,-0.0627598,0.210621,0
115000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.180629,0.0086371,0.0712787,0
115000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.7127,0.537031,-0.00554582,0.0380265,0
116000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.168559,0.0120099,0.100468,0
116000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.3261,0.391897,0.0582746,0.0186304,0
117000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.231151,0.0126839,0.211576,0
117000,Scleria_ciliata_SC189,NA,42.5343,0.954406,0.0182542,0.957986,0
117000,Scleria_pedicellata_SC435,NA,43.3941,0.354028,0.0339686,0.847059,0
117000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.8524,0.631635,-0.00634577,0.0160606,0
118000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.216379,0.0372648,0.262421,0
118000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.8833,0.82598,-0.0288753,0.0663579,0
119000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.308961,0.00811182,0.261519,0
119000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,31.1622,0.537735,0.00313406,0.0347159,0
119000,Scleria_lithosperma_SC182,NA,42.6356,0.865798,-0.0549983,3.67864,0
120000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.26622,0.00729361,0.236451,0
120000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,31.0905,0.388913,0.0739772,0.0363975,0
121000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.1849,0.0872465,0.245945,0
121000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.5834,0.308531,0.0311982,0.0435975,0
122000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.168694,0.0625048,0.157169,0
122000,Scleria_delicatula_SC288,Scleria_tricristata_SC266,41.5511,1.48246,-0.044792,0.710858,0
122000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,32.5156,0.56572,0.027196,0.283364,0
123000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.189284,0.0197534,0.137938,0
123000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,31.9215,1.10942,-0.0407432,0.382763,0
124000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.210857,0.0134764,0.194892,0
124000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.586,0.632528,-0.00613452,0.00690771,0
125000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.271397,0.0305113,0.32755,0
125000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,31.6288,0.794762,-0.0522978,0.0297837,0
125000,Scleria_ankaratrensis_SC022,Scleria_castanea_SC046,29.6408,0.601759,0.0350855,0.544748,0
126000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.221206,0.052236,0.293698,0
126000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.9245,0.744264,-0.0332209,0.101638,0
127000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.227898,0.035329,0.298466,0
127000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.9854,0.862395,-0.0407818,0.110922,0
128000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.17162,0.0200294,0.156356,0
128000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,32.825,0.431738,0.0243127,0.0517536,0
129000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.226755,0.0331861,0.255595,0
129000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.5691,0.488634,0.0167761,0.325689,0
130000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.136487,0.0429924,0.0810349,0
130000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.1687,0.547105,0.000271142,0.0709352,0
131000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.200234,0.0425923,0.228137,0
131000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.7462,0.715542,-0.0515794,0.0167337,0
132000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.186175,0.0347748,0.190338,0
132000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.6395,0.694295,-0.0192648,0.0921013,0
133000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.181201,0.0185324,0.112473,0
133000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.3121,0.950116,-0.0216083,0.462156,0
134000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.26971,0.00612879,0.203329,0
134000,Scleria_ankaratrensis_SC022,Scleria_lithosperma_SC182,19.5232,0.422347,0.0496423,0.437649,0
135000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.209066,0.0373442,0.293477,0
135000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.2782,0.705684,-0.0307289,0.211714,0
136000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.163067,0.0612914,0.174574,0
136000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.5914,0.518669,0.00729021,0.177998,0
137000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.235191,0.0159729,0.284354,0
137000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,31.324,0.995196,-0.0728915,0.00111784,0
138000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.197349,0.0520439,0.230061,0
138000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.4542,0.650336,-0.0310357,0.0142197,0
138000,Scleria_corymbosa_SC096,NA,26.0817,0.26416,0.0036373,0.332702,0
139000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.300299,0.0200446,0.343273,0
139000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.7102,0.508962,-0.0147858,0.00046723,0
140000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.200668,0.0207843,0.187522,0
140000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.3991,0.750858,-0.0133049,0.097041,0
